author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Форум-групп;developer;https://ekb.cian.ru/sale/flat/315590739/;Екатеринбург;sale;flat;7;16;2;75.29;24081404;Центр; Тверитина;60А;Геологическая;Александровский сад
Центр Ипотеки и Недвижимости Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/312974624/;Екатеринбург;sale;flat;10;25;2;44.8;6100000;; Рябинина;47;Геологическая;Eleven
Елена Ганиева;realtor;https://ekb.cian.ru/sale/flat/313956479/;Екатеринбург;sale;flat;9;9;2;34.7;2550000;Чкаловский; Дагестанская;34;Ботаническая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516885/;Екатеринбург;sale;flat;12;19;2;48.2;7587900;Орджоникидзевский; Учителей;33;Машиностроителей;Основинские кварталы
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/314594654/;Екатеринбург;sale;flat;1;4;2;44.0;6500000;Центр; Азина;20к2;Уральская;
Илья Сотников;realtor;https://ekb.cian.ru/sale/flat/313865345/;Екатеринбург;sale;flat;2;9;2;36.4;7100000;Центр; Восточная;72;Площадь 1905 года;
Деловой Квартал;developer;https://ekb.cian.ru/sale/flat/300548364/;Екатеринбург;sale;flat;19;25;2;55.39;9780700;Октябрьский;;;Ботаническая;Премиум Кварталы Маяковка ЖК
ID 81049073;homeowner;https://ekb.cian.ru/sale/flat/315953498/;Екатеринбург;sale;flat;7;24;2;33.8;5000000;Верх-Исетский; Ветеринарная;;Геологическая;PROGRESS Встречный
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315561601/;Екатеринбург;sale;flat;9;9;2;51.3;4600000;Ленинский; Амундсена;141;Чкаловская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516345/;Екатеринбург;sale;flat;22;28;2;48.1;10607400;Центр; Свердлова;10;Динамо;Екатерининский парк
АЗБУКА НЕДВИЖИМОСТИ;real_estate_agent;https://ekb.cian.ru/sale/flat/315024361/;Екатеринбург;sale;flat;10;18;2;78.4;24000000;Железнодорожный; Печерская;4;Динамо;Квартал На Некрасова
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/316058983/;Екатеринбург;sale;flat;3;5;2;43.2;4500000;Верх-Исетский; Заводская;47к2;Площадь 1905 года;
Брусника - Екатеринбург;developer;https://ekb.cian.ru/sale/flat/313832618/;Екатеринбург;sale;flat;3;9;2;53.79;7770000;;;;Ботаническая;Брусника в Академическом ЖК
Сбербанк;real_estate_agent;https://ekb.cian.ru/sale/flat/315990620/;Екатеринбург;sale;flat;7;15;2;54.8;6200000;; Академика Парина;4;Чкаловская;Школьный
ID 64129558;realtor;https://ekb.cian.ru/sale/flat/316060115/;Екатеринбург;sale;flat;5;5;2;43.5;4500000;Верх-Исетский; Красноуральская;27к2;Площадь 1905 года;
СКМ Девелопмент;developer;https://ekb.cian.ru/sale/flat/314508908/;Екатеринбург;sale;flat;2;9;2;51.1;6450000;Чкаловский;;;Ботаническая;СКМ Ривер ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/310251601/;Екатеринбург;sale;flat;12;16;2;58.6;5892000;Октябрьский; Куйбышева;159А;Геологическая;
ID 23700843;realtor;https://ekb.cian.ru/sale/flat/314981654/;Екатеринбург;sale;flat;11;19;2;78.6;9950000;Центр; Кузнечная;81;Динамо;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/300290790/;Екатеринбург;sale;flat;3;10;2;67.7;12538000;Кировский; Мира;47к5;Геологическая;Проспект Мира. Компаунд
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/313849298/;Екатеринбург;sale;flat;15;16;2;53.2;8790000;Верх-Исетский; Белореченская;4;Геологическая;
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/314482757/;Екатеринбург;sale;flat;3;3;2;43.0;3300000;Октябрьский; Бахчиванджи;11;Ботаническая;
Унистрой;developer;https://ekb.cian.ru/sale/flat/300498197/;Екатеринбург;sale;flat;7;27;2;61.4;9310000;Верх-Исетский;;;Площадь 1905 года;Риверсайд ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314172560/;Екатеринбург;sale;flat;5;18;2;66.0;16500000;Центр; Шейнкмана;111;Геологическая;
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/311156632/;Екатеринбург;sale;flat;3;5;2;42.2;2750000;Чкаловский; Инженерная;30;Ботаническая;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/297995554/;Екатеринбург;sale;flat;14;25;2;70.6;11336000;Кировский; Комсомольская;67;Геологическая;Жилой квартал Комсомольская 67
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/313840222/;Екатеринбург;sale;flat;3;15;2;60.7;8700000;Чкаловский; Лучистая;4;Ботаническая;
Уральский Дом Недвижимости;real_estate_agent;https://ekb.cian.ru/sale/flat/315084969/;Екатеринбург;sale;flat;3;5;2;40.1;4300000;Октябрьский; Восточная;174;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313518066/;Екатеринбург;sale;flat;4;23;2;52.3;7864000;Кировский;;;Машиностроителей;Основинские кварталы ЖК
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/314638283/;Екатеринбург;sale;flat;5;5;2;48.7;6390000;Центр; Пушкина;9;Площадь 1905 года;
ГРАНАТ;real_estate_agent;https://ekb.cian.ru/sale/flat/313502171/;Екатеринбург;sale;flat;2;5;2;38.9;4099000;Орджоникидзевский; Культуры;22;Уралмаш;
Унистрой;developer;https://ekb.cian.ru/sale/flat/301334912/;Екатеринбург;sale;flat;6;34;2;37.3;8068000;; Цвиллинга;7/6;Чкаловская;Парковый квартал 2.0
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/312339023/;Екатеринбург;sale;flat;5;5;2;44.0;3050000;Чкаловский; Косарева;3;Ботаническая;
Стройтэк;developer;https://ekb.cian.ru/sale/flat/297824494/;Екатеринбург;sale;flat;13;25;2;50.7;8940000;Чкаловский; 8 Марта;204;;Green Garden
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/315886501/;Екатеринбург;sale;flat;3;18;2;53.0;6799999;Верх-Исетский; Металлургов;63;Геологическая;Новый ВИЗ
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314434273/;Екатеринбург;sale;flat;3;15;2;46.8;5970000;; Академика Парина;41/2;Геологическая;Eleven
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516571/;Екатеринбург;sale;flat;17;21;2;55.5;8295300;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399204/;Екатеринбург;sale;flat;4;5;2;41.0;5750000;Центр; Сакко и Ванцетти;111А;Геологическая;
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/311301743/;Екатеринбург;sale;flat;1;9;2;48.0;4140000;Октябрьский; Латвийская;37;Геологическая;
Гринвич;representative_developer;https://ekb.cian.ru/sale/flat/313587046/;Екатеринбург;sale;flat;5;17;2;60.6;10938300;Ленинский; Шаумяна;30;Чкаловская;Южные кварталы
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399201/;Екатеринбург;sale;flat;4;5;2;43.5;4600000;Чкаловский; Братская;13;Ботаническая;
Ориентир. Недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/314712628/;Екатеринбург;sale;flat;5;5;2;44.0;3600000;Октябрьский; Белоярская;14;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517271/;Екатеринбург;sale;flat;3;16;2;78.1;31562000;Центр; Февральской Революции;21;Динамо;19/05
