author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;174388599;Тверской;1-я Тверская-Ямская ;2А;Маяковская;Vesper Tverskaya
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/315053628/;Москва;sale;flat;5;8;2;111.6;105287600;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
Стадион Спартак;developer;https://www.cian.ru/sale/flat/309287795/;Москва;sale;flat;3;20;2;64.5;34243050;Покровское-Стрешнево;;;Спартак;Клубный Город на Реке Примавера ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/315810480/;Москва;sale;flat;12;20;2;61.58;27386365;Даниловский;Автозаводская ;26/1;Тульская;FORST
Пионер;developer;https://www.cian.ru/sale/flat/314018980/;Москва;sale;flat;2;18;2;48.4;40358833;Донской;м. Ленинский проспект;;Ленинский проспект;Шифт ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/312423439/;Москва;sale;flat;2;41;2;69.3;46000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ANT Development;developer;https://www.cian.ru/sale/flat/314894284/;Москва;sale;flat;2;10;2;59.8;85514000;Дорогомилово;;3к8;Парк Победы;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/314214696/;Москва;sale;flat;24;41;2;72.0;68500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Tekta Group;developer;https://www.cian.ru/sale/flat/301260611/;Москва;sale;flat;6;27;2;40.5;27814730;Даниловский;;1;Крестьянская застава;Эра ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/310717982/;Москва;sale;flat;6;12;2;76.5;76500000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Sminex;developer;https://www.cian.ru/sale/flat/306155076/;Москва;sale;flat;2;22;2;99.7;92780000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Мария Науменко;realtor;https://www.cian.ru/sale/flat/315881967/;Москва;sale;flat;9;9;2;44.0;18000000;Левобережный;Фестивальная ;11;Речной вокзал;
Sminex;developer;https://www.cian.ru/sale/flat/315385353/;Москва;sale;flat;3;14;2;86.6;105720000;Пресненский;;;Белорусская;Тишинский Бульвар ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315973415/;Москва;sale;flat;8;12;2;93.4;62000000;Мещанский;Протопоповский переулок;17С2;Проспект Мира;
Компания PIONEER;developer;https://www.cian.ru/sale/flat/313114568/;Москва;sale;flat;3;11;2;56.2;;Даниловский;Дербеневская ;1С5;Павелецкая;"Клубный дом ""OPUS"""
GLINCOM;official_representative;https://www.cian.ru/sale/flat/310272059/;Москва;sale;flat;4;8;2;58.7;26602840;Савеловский; Верхняя Масловка;20;Петровский Парк;Verdi
Главстрой;developer;https://www.cian.ru/sale/flat/306076627/;Москва;sale;flat;7;26;2;64.5;33064441;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311033212/;Москва;sale;flat;9;14;2;67.0;57000000;Раменки;проспект Генерала Дорохова;39к1Б;Поклонная;Собрание клубных домов West Garden
Capital Group;developer;https://www.cian.ru/sale/flat/313877981/;Москва;sale;flat;11;18;2;45.8;62598031;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
