author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Алькор;developer;https://spb.cian.ru/sale/flat/314345245/;Санкт-Петербург;sale;flat;3;4;1;36.25;8248742;Кронштадтский;дорога Цитадельская;;Беговая;Кронфорт.Центральный
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/314940563/;Санкт-Петербург;sale;flat;3;25;1;33.4;8500000;Приморский; Плесецкая;16;Комендантский проспект;Чистое небо
Bonava;developer;https://spb.cian.ru/sale/flat/313866083/;Санкт-Петербург;sale;flat;1;14;1;56.6;22509820;Красногвардейский;Магнитогорская ;;Новочеркасская;Magnifika Residence
ID 80865748;unknown;https://spb.cian.ru/sale/flat/313968961/;Санкт-Петербург;sale;flat;7;8;1;58.0;26145000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/297863470/;Санкт-Петербург;sale;flat;6;8;1;40.4;27068000;Петроградский;набережная Реки Карповки;31к1;Петроградская;Северная Корона
НАШ ГОРОД;real_estate_agent;https://spb.cian.ru/sale/flat/312136602/;Санкт-Петербург;sale;flat;6;8;1;48.0;17900000;Петроградский;Ремесленная ;15;Спортивная;Neva Residence
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/315985028/;Санкт-Петербург;sale;flat;3;17;1;30.19;9973280;Василеостровский;Морской;;Приморская;Новая Земля ЖК
Олеся Тищенко;realtor;https://spb.cian.ru/sale/flat/315917300/;Санкт-Петербург;sale;flat;4;22;1;45.0;13999000;Выборгский;Железнодорожный переулок;12;Пионерская;Золотая середина
Fizika Development;developer;https://spb.cian.ru/sale/flat/309818475/;Санкт-Петербург;sale;flat;4;6;1;26.6;18354000;Центральный;Смольнинское;;Площадь Восстания;Моисеенко 10
Вам к нам;real_estate_agent;https://spb.cian.ru/sale/flat/314428706/;Санкт-Петербург;sale;flat;11;12;1;32.7;5900000;Калининский;проспект Луначарского;90К1;Гражданский проспект;
Арсенал-Недвижимость;developer;https://spb.cian.ru/sale/flat/314825779/;Санкт-Петербург;sale;flat;3;12;1;47.28;11355474;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;Modum
ID 38740974;homeowner;https://spb.cian.ru/sale/flat/314676393/;Санкт-Петербург;sale;flat;21;25;1;38.6;7100000;Выборгский; Шишкина;293;Парнас;Северная долина
LAR Development;developer;https://spb.cian.ru/sale/flat/314331252/;Санкт-Петербург;sale;flat;3;4;1;35.81;15219250;Курортный;;;;Ранта Резиденс
БрокерЪ Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/313285595/;Санкт-Петербург;sale;flat;12;17;1;34.8;6600000;Приморский;Комендантский проспект;37К1;Комендантский проспект;
Отделстрой;developer;https://spb.cian.ru/sale/flat/265779325/;Санкт-Петербург;sale;flat;6;12;1;34.75;12730000;Выборгский;Большой Сампсониевский проспект;70К2;Выборгская;Новый Лесснер
NEXT;real_estate_agent;https://spb.cian.ru/sale/flat/310088125/;Санкт-Петербург;sale;flat;14;14;1;39.35;11760000;Приморский;Вазаский переулок;3;Черная речка;ЦДС Черная речка
RBI;developer;https://spb.cian.ru/sale/flat/307997699/;Санкт-Петербург;sale;flat;5;9;1;40.1;23836056;Центральный;Лиговка-Ямская;;Площадь Восстания;Миръ
ID 46450217;homeowner;https://spb.cian.ru/sale/flat/308837393/;Санкт-Петербург;sale;flat;11;16;1;32.9;8200000;Красногвардейский;Львовская ;9;Площадь Ленина;
ПИК;developer;https://spb.cian.ru/sale/flat/292688312/;Санкт-Петербург;sale;flat;2;9;1;34.8;15150528;Адмиралтейский;Измайловское;к 2.2;Балтийская;Лермонтовский 54 ЖК
ID 79565694;homeowner;https://spb.cian.ru/sale/flat/316118303/;Санкт-Петербург;sale;flat;16;22;1;42.6;16500000;Приморский;Коломяжский проспект;5к3;Пионерская;Приморский квартал
GloraX;developer;https://spb.cian.ru/sale/flat/310470042/;Санкт-Петербург;sale;flat;10;14;1;43.8;15389999;Красногвардейский;проспект Энергетиков;2к1;;GloraX Заневский
ID 127732519;homeowner;https://spb.cian.ru/sale/flat/313659002/;Санкт-Петербург;sale;flat;9;9;1;33.4;6050000;Выборгский;проспект Культуры;26К1;Проспект Просвещения;
Брусника;developer;https://spb.cian.ru/sale/flat/311472517/;Санкт-Петербург;sale;flat;3;15;1;41.05;13960000;Василеостровский;Морской;;Приморская;Северный Ветер ЖК
Пальмира;real_estate_agent;https://spb.cian.ru/sale/flat/316136749/;Санкт-Петербург;sale;flat;14;17;1;42.1;8400000;Невский;проспект Солидарности;21к2;Улица Дыбенко;
AAG;developer;https://spb.cian.ru/sale/flat/313648093/;Санкт-Петербург;sale;flat;2;9;1;20.13;17699018;Петроградский;Пионерская ;53;Чкаловская;Avant
Максим Коновалов;realtor;https://spb.cian.ru/sale/flat/315662940/;Санкт-Петербург;sale;flat;1;10;1;42.0;13265000;Приморский;Лисичанская ;15;Черная речка;Domino
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/311043322/;Санкт-Петербург;sale;flat;3;10;1;42.48;18368352;Выборгский;Сампсониевское;;Выборгская;Сампсониевский 32
Андрей Сурмай;realtor;https://spb.cian.ru/sale/flat/315340991/;Санкт-Петербург;sale;flat;20;27;1;34.5;6500000;Выборгский; Валерия Гаврилина;15;Парнас;Северная долина
AAG;developer;https://spb.cian.ru/sale/flat/311208114/;Санкт-Петербург;sale;flat;4;7;1;38.8;19540291;Василеостровский;12-я Васильевского острова линия;41к2;Василеостровская;Amo
ID 80865748;unknown;https://spb.cian.ru/sale/flat/315210537/;Санкт-Петербург;sale;flat;4;7;1;95.3;119125000;Центральный;набережная Воскресенская;32;Чернышевская;Приоритет
