Код раздела;Раздел;Код показателя;Название показателя;Единица измерения;Годы
1;Платные услуги населению;8401111;Объем платных услуг населению (без субъектов малого предпринимательства);Тысяча рублей;2019?2024
1;Платные услуги населению;8401101;Число объектов бытового обслуживания населения, оказывающих услуги;Единица;2009?2023
1;Платные услуги населению;8401102;Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;Единица;2009?2023
2;Розничная торговля и общественное питание;8801004;Общий объем всех продовольственных товаров, реализованных в границах муниципального образования;Тысяча рублей;2020?2024
2;Розничная торговля и общественное питание;8401006;Оборот общественного питания (без субъектов малого предпринимательства);Тысяча рублей;2016?2025
2;Розничная торговля и общественное питание;8002008;Число торговых мест на ярмарках;Место;2015?2025
2;Розничная торговля и общественное питание;8002007;Число ярмарок;Единица;2013?2025
2;Розничная торговля и общественное питание;8401003;Оборот розничной торговли (без субъектов малого предпринимательства);Тысяча рублей;2010?2025
2;Розничная торговля и общественное питание;8002006;Число рынков;Единица;2009?2025
2;Розничная торговля и общественное питание;8201005;Общий объем всех продовольственных товаров, реализованных в границах городского округа, в денежном выражении за финансовый год;Тысяча рублей;2009?2023
2;Розничная торговля и общественное питание;8201004;Общий объем всех продовольственных товаров, реализованных в границах муниципального района, в денежном выражении за финансовый год;Тысяча рублей;2009?2020
2;Розничная торговля и общественное питание;8002005;Число торговых мест на рынках;Место;2006?2025
2;Розничная торговля и общественное питание;8002001;Количество объектов розничной торговли и общественного питания;Единица;2006?2024
2;Розничная торговля и общественное питание;8002002;Площадь торгового зала объектов розничной торговли;Квадратный метр;2006?2024
2;Розничная торговля и общественное питание;8002003;Площадь зала обслуживания посетителей в объектах общественного питания;Квадратный метр;2006?2024
2;Розничная торговля и общественное питание;8002004;Число мест в объектах общественного питания;Место;2006?2024
6;Территория;8406005;Протяженность мостов, путепроводов и эстакад, расположенных на автомобильных дорогах общего пользования местного значения;Погонный метр;2021?2024
6;Территория;8006010;Количество автозаправочных станций (АЗС), расположенных на автомобильных дорогах общего пользования местного значения;Единица;2013?2024
6;Территория;8006005;Протяженность автодорог общего пользования местного значения;Километр, тысяча метров;2006?2024
6;Территория;8006001;Общая площадь земель муниципального образования;Гектар;2006?2023
6;Территория;8006007;Общая протяженность улиц, проездов, набережных;Километр, тысяча метров;2006?2023
9;Инвестиции в основной капитал;8109013;Объем инвестиций в основной капитал (за исключнием бюджетных средств) в расчете на одного человека, (без средств на долевое строительство населения и организаций);Рубль;2010?2024
9;Инвестиции в основной капитал;8109001;Инвестиции в основной капитал, осуществляемые организациями, находящимися на территории муниципального образования (без субъектов малого предпринимательства);Тысяча рублей;2008?2023
9;Инвестиции в основной капитал;8109002;Инвестиции в основной капитал организаций муниципальной формы собственности;Тысяча рублей;2008?2023
